raw_sentence,clean_text,textblob_polarity,sentiment_textblob
"How do you prioritize love of self in your daily life?

#unitedwerise  #Blackbody #BlackAIDS #Blackliberation #HIVAIDS #HIVawareness #AIDSawareness #Blackhealth #Blackhealthmatters #EndHIVepidemic #BlackCommunityEngagement #solidarity #healing #selflove #EveryBlackBody https://t.co/aZ4bCyJuIX",daily #BlackAIDS #HIVawareness love #EndHIVepidemic #BlackCommunityEngagement prioritize #healing #EveryBlackBody life self #AIDSawareness #unitedwerise #Blackhealth #HIVAIDS #solidarity #Blackbody #selflove #Blackliberation #Blackhealthmatters,0.25,Partially Positive
"Tuberculosis is one disease that can take away so many good things from our lives. Let us make everyone aware of it. Happy World Tuberculosis Day.
.
.
#worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids https://t.co/qFdP1BsB50",good thing #hivawareness many #endtb away #worldtbday #tuberculosis #health make life take Tuberculosis #worldtuberculosisday disease everyone #aids Happy #healthcare aware #covid #hiv #tbc #coronavirus World,0.56,Positive
"One day or day one? The choice is yours. Visit https://t.co/C8y3sPCakm for resources that can help you navigate an HIV/AIDS diagnosis, mental health resources and beyond. 
#HIVawareness #stopthestigma #mentalhealth #HIV #HIVawareness #HIVtreatment #sexualwellness #sanantoniotexas https://t.co/LkxzxIs0DZ",help #HIVawareness resource choice navigate beyond #HIV diagnosis #sexualwellness #sanantoniotexas #stopthestigma mental #HIVtreatment Visit health AIDS #mentalhealth,-0.1,Partially Negative
"PHOENIX, AZ: The #CANphoenix team will be at the annual #BlackExcellenceNight this Sat, March 25th at the Footprint Center. Stop by from 11am-2:30pm at 201 E Jefferson St in #PhoenixAZ #CHI2023 #Phoenix #HIVawareness #endHIVstigma #KnowYourStatus https://t.co/DTUZdEWyGT",#endHIVstigma annual #Phoenix #HIVawareness Footprint #KnowYourStatus Center #PhoenixAZ team 30pm #BlackExcellenceNight 25th Jefferson #CHI2023 11am PHOENIX Stop March #CANphoenix,-0.1,Partially Negative
"RT @kavanhospital: ""Yes, We can end TB!""

Book your appointment - 7200 53 8080 / 7200 54 8080

#tuberculosis #covid #tb #tbc #hiv #endtb #câ€¦",7200 appointment #endtb #covid #hiv 8080 #tbc #tuberculosis Book,0.0,Neutral
"===&gt; CHERRY's Host Center Hours

#CharityBenefit #Nonprofit #Foundation #HIV #AIDS #hivawareness #hivprevention #endstigma #MentalHealth #CreatingCommunity #Community #Music #DanceFloor @metroweekly #Performers #Acrobats #Dancers #GoGoDancers #DJs https://t.co/UHdgI3iUR2",#Performers #CreatingCommunity Host #HIV Center #hivawareness #Dancers #GoGoDancers #Music #Nonprofit Hours #endstigma CHERRY #DanceFloor #AIDS #DJs #Foundation #CharityBenefit #MentalHealth #hivprevention #Community #Acrobats,-0.1,Partially Negative
"""Yes, We can end TB!""

Book your appointment - 7200 53 8080 / 7200 54 8080

#tuberculosis #covid #tb #tbc #hiv #endtb #cancer #aids #coronavirus #hivaidsawareness #worldtuberculosisday #diabetes #hivawareness #health #worldtbday #stroke https://t.co/gCwzfqn43m",7200 #diabetes #hivawareness appointment #endtb #hivaidsawareness #worldtbday #tuberculosis #health #aids #stroke #cancer #covid #hiv 8080 #tbc #coronavirus Book #worldtuberculosisday,0.0,Neutral
"On the occasion of World Tuberculosis Day, we must wake up and work together to make this world free from TB.
.
.
#worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb #hivaidsawareness #stroke https://t.co/ejGBWIw7cu",#stoptb #hivawareness wake occasion #endtb #hivaidsawareness #worldtbday together #tuberculosis #health make must free Tuberculosis world #aids World #healthcare #stroke work #covid #hiv #tbc #coronavirus #worldtuberculosisday,0.4,Partially Positive
"Life is for living and living isnâ€™t for smoking. Spread the work and be aware of the deadly tuberculosis.
ðŸ‘‰ Website: https://t.co/8NLAg1OT36
~
~
#worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids https://t.co/fB0M4GSF0i",tuberculosis Spread #hivawareness #endtb #worldtbday #tuberculosis #health Life smoking Website #aids #healthcare aware work #covid #hiv #tbc living deadly #coronavirus #worldtuberculosisday,0.02,Neutral
"Know about HIV/AIDS and be informed!
Dial the toll-free helpline number 1097 or download the NACO app today!

#à¤•à¥‹à¤£à¤œà¤¾à¤¤à¤²à¥‹à¤œà¤¾à¤£à¤•à¤¾à¤° #beinformed #KnowHIV #knowAIDS #stayinformed #dial1097 #NACOApp #HIVawareness #AIDSawareness #HIV #AIDS #goasacs https://t.co/ML6SM9E6jt",toll #HIVawareness informed #knowAIDS #HIV number #NACOApp #dial1097 #stayinformed #beinformed download #AIDSawareness #KnowHIV #AIDS #goasacs free helpline 1097 AIDS today NACO Dial Know,0.4,Partially Positive
"Those living with HIV are not defined by their diagnosis.
All of us, everywhere, must do all we can to help tackle inequalities.

Let's #equalize. 

.
.
.
#YRGCARE #yrgcare121 #HIVTesting #AIDS #hivaids #LongLifeForAll #hivawareness #YRGCARE  #aidsprevention #aidsawareness https://t.co/L3CSHES15W",#yrgcare121 #HIVTesting #hivawareness help tackle #equalize Those must everywhere #AIDS #aidsawareness #YRGCARE #hivaids defined inequality diagnosis living #LongLifeForAll #aidsprevention,0.0,Neutral
"'Yes! We can end TB!'

Each year we commemorate World TB Day to raise public awareness about the devastating health.

#worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb #hivaidsawareness #stroke https://t.co/5vUrUEa6QJ",public awareness #stoptb #hivawareness #endtb #hivaidsawareness raise year #worldtbday #tuberculosis #health Each devastating commemorate #aids World health #healthcare #stroke #covid #hiv #tbc #coronavirus #worldtuberculosisday,-0.5,Negative
"Register for our #HIVawareness #training next week, delivered in partnership with @PositiveEast! 

You'll learn: 
What #HIV is and how it affects people in #EastLondon
The options for #testing and #preventing HIV
How to address #HIVstigma and fear
https://t.co/PvAFaWBmX6",#HIVstigma people #HIVawareness #HIV option #EastLondon affect partnership week address learn #testing delivered #preventing fear Register #training What next,0.0,Neutral
"RT @ahfwellness: Masaya ang 3rd day ng ating basic sex education sa Deparo High School! With our volunteers and HIV counselors, we successfâ€¦",With Masaya basic education counselor High School successf Deparo ating volunteer,0.08,Partially Positive
"World Tuberculosis day !! ðŸ©¸

#worldtuberculosisday #worldtuberculosisday2023 #tuberculosis #covid #hiv #tb #tbc #endtb #aids #coronavirus #hivawareness #arv #hivaidsawareness #nostigmahiv #kds #hivjakarta #puskesmas #aidsawareness #testhivgratis #hivtest #konselinghiv #kondom https://t.co/bVmlwwygJG",#puskesmas #hivawareness #endtb #hivaidsawareness #tuberculosis #hivjakarta #kondom #nostigmahiv #hivtest #testhivgratis #kds Tuberculosis #aidsawareness #konselinghiv #aids #worldtuberculosisday2023 #worldtuberculosisday #arv #covid #hiv #tbc #coronavirus World,0.0,Neutral
"Happy World TB Day 2023
.
.
#worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb #hivaidsawareness #stroke #diabetes #aidsawareness #medical #doctor #technology #surgery #nurse #doctors #hospital https://t.co/XbCQj5b5jR",#nurse #diabetes #stoptb #hivawareness #endtb #hivaidsawareness #worldtbday #tuberculosis #health #medical #doctor #aidsawareness #aids World #healthcare Happy #stroke #covid #hiv #technology #tbc 2023 #hospital #coronavirus #doctors #worldtuberculosisday #surgery,0.4,Partially Positive
"Happy World TB Day 2023

#worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb #hivaidsawareness #stroke #diabetes #aidsawareness #medicalsupplies #medicaldevice #doctor #medicaltechnology https://t.co/rCyMirtmAj",#diabetes #stoptb #medicaldevice #hivawareness #endtb #hivaidsawareness #worldtbday #tuberculosis #health #medicaltechnology #medicalsupplies #doctor #aidsawareness #aids World #healthcare Happy #stroke #covid #hiv #tbc 2023 #coronavirus #worldtuberculosisday,0.8,Positive
"Happy World Tuberculosis Day.
Website: https://t.co/eQHuUszWLU
USA: (+1) 813 817 4433
India: (+91) 79 410 05662
Email: Sales@n2nacers.com
#worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb https://t.co/wn7Gj4uSFa",#stoptb #hivawareness 4433 #endtb #worldtbday India #tuberculosis #health Email Website 05662 Tuberculosis #aids World #healthcare Happy Sales #covid #hiv #tbc #coronavirus #worldtuberculosisday,0.8,Positive
"world TB Vday
.
.
.
.
#worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb #hivaidsawareness #stroke #diabetes #aidsawareness #arv #cancer #nostigmahiv #hivjakarta #kds #itstimetoendtb https://t.co/CHSZRfNYpu",#diabetes #stoptb #hivawareness #endtb #hivaidsawareness #itstimetoendtb #worldtbday #tuberculosis #health #hivjakarta #nostigmahiv #kds world #aidsawareness #aids #arv #healthcare Vday #stroke #cancer #covid #hiv #tbc #coronavirus #worldtuberculosisday,0.0,Neutral
Life is for living and living isnâ€™t for smoking. Spread the work and be aware of the deadly tuberculosis.#WorldTBDay2023 #tuberculosis #covid #tb #tbc #hiv #endtb #cancer #aids #coronavirus #hivaidsawareness #Tuberculosis #herpes #tosstb #disease #hivawareness #health https://t.co/d1GzCTz8wg,tuberculosis #WorldTBDay2023 #tosstb Spread #hivawareness #endtb #hivaidsawareness #disease #tuberculosis #health Life smoking #Tuberculosis #aids #herpes aware work #cancer #covid #hiv #tbc living deadly #coronavirus,0.02,Neutral
"Wishing world tuberculosis day from Estrange Aurora.
#worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb #hivaidsawareness #stroke #diabetes #aidsawareness #cancer #EstrangeAurora #Startupindia https://t.co/idWwKG94JL",tuberculosis #EstrangeAurora #diabetes #stoptb #hivawareness Wishing #endtb #hivaidsawareness #worldtbday #tuberculosis #health world #aidsawareness #aids Aurora #healthcare #stroke #cancer #covid #hiv #tbc #Startupindia #coronavirus #worldtuberculosisday Estrange,0.0,Neutral
"To know more about our Medical Specialities Treatments reach us at https://t.co/GfKuqKQwcv  or call us @ +91 96060 26006 / +91 96060 26007

#worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb https://t.co/fBu2mBgGby",Specialities reach 26006 #stoptb #hivawareness know call #endtb #worldtbday #tuberculosis #health 96060 #aids #healthcare Medical Treatments 26007 #covid #hiv #tbc #coronavirus #worldtuberculosisday,0.0,Neutral
"Life is for living and living isnâ€™t for smoking. Spread the work and be aware of the deadly tuberculosis.
.
.
.
#tuberculosis #covid #tb #tbc #hiv #endtb #cancer #aids #coronavirus #hivaidsawareness #worldtuberculosisday #diabetes #hivawareness #health #worldtbday #stroke https://t.co/34BxySvCSi",tuberculosis #diabetes Spread #hivawareness #endtb #hivaidsawareness #worldtbday #tuberculosis #health Life smoking #aids aware #stroke work #cancer #covid #hiv #tbc living deadly #coronavirus #worldtuberculosisday,0.02,Neutral
World tb day #worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb #hivaidsawareness #stroke #diabetes #aidsawareness #arv #cancer #nostigmahiv #hivjakarta #kds #itstimetoendtb #fountainhead https://t.co/1tsC7Lo3E7,#fountainhead #diabetes #stoptb #hivawareness #endtb #hivaidsawareness #itstimetoendtb #worldtbday #tuberculosis #health #hivjakarta #nostigmahiv #kds #aidsawareness #aids #worldtuberculosisday #arv #healthcare #stroke #cancer #covid #hiv #tbc #coronavirus World,0.0,Neutral
"RT @CherryFundDC: ===&gt; The Music. The DJs. The Fun. The Community!

Tom Stephan
https://t.co/nfIeZnkTdX

@djtomstephan  #CharityBenefit #Foâ€¦",Music #CharityBenefit Community Stephan,0.0,Neutral
"Happy World Tuberculosis Day 2023.
Website: https://t.co/Bo85gPgqQt
USA: (+1) 813 817 4433
India: (+91) 79 410 05662
Email: Sales@n2nacers.com
#worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb https://t.co/7CdMIrDO8E",#stoptb #hivawareness 4433 #endtb #worldtbday India #tuberculosis #health Email Website 05662 Tuberculosis #aids World #healthcare Happy Sales #covid #hiv #tbc 2023 #coronavirus #worldtuberculosisday,0.8,Positive
"ð–ðŽð‘ð‹ðƒ ð“ð”ðð„ð‘ð‚ð”ð‹ðŽð’ðˆð’ ðƒð€ð˜!

 #skinskapharmaceutica #SkinskaNaturals #Skinska #skincare 
 #tuberculosis #covid #tb #tbc #hiv #endtb #cancer #aids #coronavirus #hivaidsawareness #worldtuberculosisday #diabetes #hivawareness #health #worldtbday #stroke #arv https://t.co/FpoH3qlvgQ",#diabetes #hivawareness #skinskapharmaceutica #endtb #hivaidsawareness #worldtbday #tuberculosis #health #aids #SkinskaNaturals #skincare #arv #Skinska #stroke #cancer #covid #hiv #tbc #coronavirus #worldtuberculosisday,0.0,Neutral
"World Tuberculosis Day!
Sending you our best wishes for your speedy recovery and good health.
Visit us: https://t.co/lyPWVW9Npa
Phone no. :+91-120 412 2015
Email: info@virtuzo.in
#worldtbday #tuberculosis #worldtuberculosisday #health #healthcare #hivawareness #goodhealth https://t.co/2EJfwH0BNc",good recovery #hivawareness Sending #worldtbday #tuberculosis #health Visit Email 2015 Tuberculosis World health #healthcare wish info best #goodhealth #worldtuberculosisday Phone speedy,0.85,Positive
"World TB Day 
#WorldTBDay  #worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb #hivaidsawareness #stroke #diabetes #aidsawareness #arv #cancer https://t.co/YL535IJyKV",#diabetes #stoptb #hivawareness #endtb #hivaidsawareness #worldtbday #tuberculosis #health #aidsawareness #aids World #arv #healthcare #stroke #cancer #covid #hiv #tbc #coronavirus #WorldTBDay #worldtuberculosisday,0.0,Neutral
"World TB Day 
#WorldTBDay  #worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb #hivaidsawareness #stroke #diabetes #aidsawareness #arv #cancer https://t.co/4Fn8nf1RaM",#diabetes #stoptb #hivawareness #endtb #hivaidsawareness #worldtbday #tuberculosis #health #aidsawareness #aids World #arv #healthcare #stroke #cancer #covid #hiv #tbc #coronavirus #WorldTBDay #worldtuberculosisday,0.0,Neutral
"""Fighting against TB is not the biggest challenge but diagnosing it at the right time and providing the right care is the real deal.""
.
.
#worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb https://t.co/IU9mfptik1",time #stoptb #hivawareness #endtb #worldtbday #tuberculosis #health providing biggest right Fighting challenge #aids #healthcare diagnosing deal #covid #hiv #tbc #coronavirus care #worldtuberculosisday real,0.24,Partially Positive
RT @Running4PLHIV: Today I am receiving my HIV anti-retroviral injectable treatment. Sorry for the butt exposure but the shots needed to beâ€¦,needed shot Today anti butt Sorry injectable exposure receiving retroviral treatment,-0.5,Negative
"RT @HerbsMango: Let us act smart to ensure that the world is free from diseases such as tuberculosis.

https://t.co/Hzcu935p2u

#worldtbdayâ€¦",tuberculosis ensure free #worldtbday smart world disease,0.31,Partially Positive
"ðŸ‘‰Warm greetings on World Tuberculosis Day to everyone. Let us not take TB easy and let us come together to put a fight against it.
#worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb https://t.co/yYEUdcZXzI",#stoptb #hivawareness greeting #endtb #worldtbday together #tuberculosis #health take Tuberculosis #aids everyone World #healthcare Warm fight #covid come #hiv #tbc easy #coronavirus #worldtuberculosisday,0.52,Positive
"RT @HousingAb: Let's Fight Against Tuberculosis.
World Tuberculosis Day.

#abhousingrealtypvtltd               
#tuberculosis #covid #awareâ€¦",Fight Against #abhousingrealtypvtltd #covid #aware Tuberculosis #tuberculosis World,0.25,Partially Positive
"Let's Fight Against Tuberculosis.
World Tuberculosis Day.

#abhousingrealtypvtltd               
#tuberculosis #covid #awareness #tb #tbc #endtb #cancer #coronavirus #hivaidsawareness #worldtuberculosisday #diabetes #hivawareness #health #worldtbday #aidsawareness #healthcare https://t.co/D2tld2sAK0",#diabetes #hivawareness #abhousingrealtypvtltd #endtb #hivaidsawareness #worldtbday #tuberculosis #health Fight Against Tuberculosis #aidsawareness World #healthcare #cancer #covid #tbc #awareness #coronavirus #worldtuberculosisday,0.0,Neutral
"Let us act smart to ensure that the world is free from diseases such as tuberculosis.

https://t.co/Hzcu935p2u

#worldtbday #tuberculosis #worldtuberculosisday #health #healthcare #hivawareness #aids #worlstuberculosisday #hivaidsawareness #stroke #diabetes #aidsawareness https://t.co/vzZYLgICq8",tuberculosis #worlstuberculosisday #stroke ensure #hivaidsawareness #diabetes free #aids #worldtbday smart world #tuberculosis #health #aidsawareness #hivawareness disease #worldtuberculosisday #healthcare,0.31,Partially Positive
"âœ¨World Tuberculosis Dayâœ¨
ðŸ“ž : +91 98252 84666ðŸ“² : +91 91061 99949
ðŸ“© : dalsonscropscience@gmail.com
ðŸŒ : https://t.co/9LRP3neIsu
#tuberculosis #covid #hiv #tb #tbc #endtb #aids #coronavirus #hivawareness #arv #hivaidsawareness #nostigmahiv #kds #hivjakarta #puskesmas #aidsaware https://t.co/S3PHgSbO5q",#puskesmas #hivawareness 98252 #endtb #hivaidsawareness 84666 #tuberculosis #hivjakarta #nostigmahiv dalsonscropscience #kds Tuberculosis 99949 #aids #arv 91061 #covid #hiv #tbc #coronavirus #aidsaware World,0.0,Neutral
"===&gt; The Music. The DJs. The Fun. The Community!

Mohammad
https://t.co/RncSfSIqbV

#djmohammadsf #CharityBenefit #Foundation #HIV #AIDS #hivawareness #hivprevention #endstigma #MentalHealth #CreatingCommunity #Community #Music #DanceFloor https://t.co/m1WXeFYScG",#MentalHealth #DanceFloor #CreatingCommunity #AIDS Music #Foundation #hivprevention Community #HIV #Community #Music #djmohammadsf #hivawareness Mohammad #CharityBenefit #endstigma,0.0,Neutral
"===&gt; The Music. The DJs. The Fun. The Community!

Nina Flowers
https://t.co/lp0Y4jhlTK

@DJNinaFlowers1 #CharityBenefit #Foundation #HIV #AIDS #hivawareness #hivprevention #endstigma #MentalHealth #CreatingCommunity #Community #Music #DanceFloor https://t.co/qwpPQnnFUM",#MentalHealth #DanceFloor #CreatingCommunity Nina Music #Foundation #AIDS Community #HIV #hivprevention #Community #Music #hivawareness #CharityBenefit #endstigma Flowers,0.0,Neutral
"===&gt; The Music. The DJs. The Fun. The Community!

Tom Stephan
https://t.co/nfIeZnkTdX

@djtomstephan  #CharityBenefit #Foundation #HIV #AIDS #hivawareness #hivprevention #endstigma #MentalHealth #CreatingCommunity #Community #Music #DanceFloor https://t.co/dedXGVvqbD",#MentalHealth #DanceFloor Stephan #CreatingCommunity #AIDS Music #hivprevention #Music Community #HIV #Community #CharityBenefit #hivawareness #Foundation #endstigma,0.0,Neutral
"===&gt; The Music. The DJs. The Fun. The Community!

Shane Marcus
https://t.co/cCbxRdYRwK

#djshanemarcus #CharityBenefit #Foundation #HIV #AIDS #hivawareness #hivprevention #endstigma #MentalHealth #CreatingCommunity #Community #Music #DanceFloor https://t.co/54Y1bZWoXx",#MentalHealth #DanceFloor #CreatingCommunity #AIDS Music #Foundation #hivprevention Community #HIV #Community #Music #hivawareness #djshanemarcus Marcus #CharityBenefit #endstigma Shane,0.0,Neutral
"===&gt; The Music. The DJs. The Fun. The Community!

Eddie Martinez
https://t.co/vHctvvXRM3

@EddieMartinez00 #CharityBenefit #Foundation #HIV #AIDS #hivawareness #hivprevention #endstigma #MentalHealth #CreatingCommunity #Community #Music #DanceFloor https://t.co/fsEMBaoFtu",#MentalHealth #DanceFloor #CreatingCommunity #AIDS Music #Foundation Eddie Community #HIV #hivprevention Martinez #Community #Music #hivawareness #CharityBenefit #endstigma,0.0,Neutral
"===&gt; The Music. The DJs. The Fun. The Community!

Calagna
https://t.co/oYg2olKDaQ

@Calagna_Music #DJHighlight #CharityBenefit #Foundation #HIV #AIDS #hivawareness #hivprevention #endstigma #MentalHealth #CreatingCommunity #Community #Music #DanceFloor https://t.co/MuLY2Wm9iK",#MentalHealth #DanceFloor #CreatingCommunity Calagna #AIDS Music #Foundation #hivprevention Community #HIV #Community #Music #hivawareness #CharityBenefit #endstigma #DJHighlight,0.0,Neutral
"===&gt; The Music. The DJs. The Fun. The Community!

Orel Sabag
https://t.co/wyIvp7GG0a

#djorelsabag #DJHighlight #CharityBenefit #Foundation #HIV #AIDS #hivawareness #hivprevention #endstigma #MentalHealth #CreatingCommunity #Community #Music #DanceFloor https://t.co/HtnUqXaD3B",Orel #MentalHealth #DanceFloor #CreatingCommunity #AIDS Sabag Music #Foundation Community #HIV #hivprevention #Community #Music #hivawareness #CharityBenefit #endstigma #djorelsabag #DJHighlight,0.0,Neutral
"===&gt; The Music. The DJs. The Fun. The Community!

Las Bibas from Vizcaya
https://t.co/3XAVkLr31Y

@lasbibas #CharityBenefit #Foundation #HIV #AIDS #hivawareness #hivprevention #endstigma #MentalHealth #CreatingCommunity #Community #Music #DanceFloor https://t.co/DRcYxD1eQy",Bibas #MentalHealth #DanceFloor #CreatingCommunity #AIDS Music #Foundation #hivprevention Community #HIV #Community Vizcaya #Music #hivawareness #CharityBenefit #endstigma,0.0,Neutral
"===&gt; The Music. The DJs. The Fun. The Community!

Joe Gauthreaux
https://t.co/Angg3QNR0J

@DJJoeG #CharityBenefit #Foundation #HIV #AIDS #hivawareness #hivprevention #endstigma #MentalHealth #CreatingCommunity #Community #Music #DanceFloor https://t.co/QZBqGyfXlg",#MentalHealth #DanceFloor #CreatingCommunity #AIDS Music #Foundation #hivprevention Community #HIV #Community #Music Gauthreaux #hivawareness #CharityBenefit #endstigma,0.0,Neutral
"===&gt; The Music. The DJs. The Fun. Community!

Micky Friedmann (Berlin)
https://t.co/t7ERB0knjb

#DJMickyFriedmann #DJHighlight #CharityBenefit #Foundation #HIV #AIDS #hivawareness #hivprevention #endstigma #MentalHealth #CreatingCommunity #Community #Music #DanceFloor https://t.co/MBD7EHLrVi",#CreatingCommunity #HIV #hivawareness Friedmann Music #Music Micky #endstigma #DanceFloor #AIDS #Foundation #CharityBenefit #DJMickyFriedmann #MentalHealth Berlin #hivprevention Community #Community #DJHighlight,0.0,Neutral
"===&gt; The Music. The DJs. The Fun. Community!

GSP (Greece)
https://t.co/bNUPLde9Qi

@djgsp #DJHighlight #CharityBenefit #Foundation #HIV #AIDS #hivawareness #hivprevention #endstigma #MentalHealth #CreatingCommunity #Community #Music #DanceFloor https://t.co/eAzwy2iFho",#MentalHealth #DanceFloor #CreatingCommunity #AIDS Music #Foundation #hivprevention Greece Community #HIV #Community #Music #hivawareness #CharityBenefit #endstigma #DJHighlight,0.0,Neutral
"""Together we can fight against TB with Homeopathy and free this world from its clutches""

World Tuberculosis Day!!

#worldtbday #tuberculosis #worldtuberculosisday #tb #healthcare #hiv #hivawareness #hivaidsawareness #aidsawareness #worldtbday2023 #Homeodoctor #DRSinghalHomeo https://t.co/sofqgSBU4Y",Together clutch #hivawareness #worldtbday2023 #DRSinghalHomeo #hivaidsawareness #worldtbday #tuberculosis free #Homeodoctor Homeopathy world Tuberculosis #aidsawareness World #healthcare fight #hiv #worldtuberculosisday,0.4,Partially Positive
"World Tuberculosis Day
#worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb #hivaidsawareness #homeonherbs #homeopathic #homeopathyheals #homeopathicmedicine #health #homeopathy #peace #viral https://t.co/ob2SQMqZbz",#homeopathy #homeopathicmedicine #stoptb #hivawareness #endtb #hivaidsawareness #viral #worldtbday #tuberculosis #health Tuberculosis #aids World #peace #healthcare #homeopathic #homeonherbs #covid #hiv #tbc #coronavirus #homeopathyheals #worldtuberculosisday,0.0,Neutral
"We are one week away from our next #HIV Basics event! Team members from the Arlene Cooper Community Health Center will offer resourceful information that strengthens us all! Learn the basics of #HIV and how it impacts our communities. 

#HIVAwareness #thecenterlvevents https://t.co/7REwOBYpIS",Learn #HIV Center Arlene member information basic away offer week impact #HIVAwareness #thecenterlvevents Basics Cooper Team community Community Health resourceful strengthens event next,0.12,Partially Positive
"We're just days away from our Red Ribbon Gala featuring Emmy award winner and LGBTQ+ rights activist Laverne Cox! Have you purchased your tickets yet?

Learn more at https://t.co/uhxFkumQRa

#CANCommunityHealth #RedRibbonGala2023 #TampaMuseumOfArt #endHIVstigma #HIVawareness https://t.co/PW0lSOwMca",Laverne featuring Learn #endHIVstigma #HIVawareness winner away Emmy Ribbon LGBTQ activist right award day purchased Have Gala ticket #TampaMuseumOfArt #CANCommunityHealth #RedRibbonGala2023,0.29,Partially Positive
"RT @ClovisCare: March 20th is National HIV/AIDS Awareness Month, making this the perfect time to discuss your questions or concerns with aâ€¦",National perfect March time making discus concern Month Awareness 20th question AIDS,0.5,Positive
"RT @ClovisCare: March 20th is National HIV/AIDS Awareness Month, making this the perfect time to discuss your questions or concerns with aâ€¦",National perfect March time making discus concern Month Awareness 20th question AIDS,0.5,Positive
"RT @ClovisCare: March 20th is National HIV/AIDS Awareness Month, making this the perfect time to discuss your questions or concerns with aâ€¦",National perfect March time making discus concern Month Awareness 20th question AIDS,0.5,Positive
"RT @ClovisCare: March 20th is National HIV/AIDS Awareness Month, making this the perfect time to discuss your questions or concerns with aâ€¦",National perfect March time making discus concern Month Awareness 20th question AIDS,0.5,Positive
"RT @pgchop: Shavoun takes PrEP because it puts her in charge of her #sexualhealth. She knows that with #PrEP she is safe and in control.
#Pâ€¦",know #sexualhealth Shavoun put take safe control PrEP #PrEP charge,0.5,Positive
"Know the facts related to HIV/AIDS, and be the ""à¤œà¤¾à¤£à¤•à¤¾à¤°""!

#à¤•à¥‹à¤£à¤œà¤¾à¤¤à¤²à¥‹à¤œà¤¾à¤£à¤•à¤¾à¤° #beinformed #KnowHIV #knowAIDS #stayinformed #dial1097 #NACOApp #HIVawareness #AIDSawareness #HIV #AIDS #goasacs https://t.co/4zIsvO5TCf",#NACOApp #AIDSawareness #HIVawareness related #KnowHIV #AIDS #knowAIDS #HIV #goasacs fact #stayinformed #dial1097 Know #beinformed AIDS,0.0,Neutral
"RT @eMedEvents: Today is National Native AIDS Awareness Day, a day to raise awareness about the impact of HIV/AIDS.
Let's work together toâ€¦",National Today awareness work raise Awareness together Native AIDS impact,0.0,Neutral
Gain insight into aging with #HIV. Watch my 14-min presentation to learn more. #HIVAwareness #AgeingWithHIV #PositiveOutlook https://t.co/veYkzkMOzb https://t.co/e57593Fv50,#HIVAwareness learn insight #HIV presentation aging Gain #AgeingWithHIV #PositiveOutlook Watch,0.0,Neutral
"RT @MissFaithIbanez: Hi goizzz. I'm Faith, from San Pablo. A Community-based HIV service provider of #SAIL Calamba, Laguna.

If you're lookâ€¦",Faith goizzz Laguna Pablo Community based look provider #SAIL Calamba service,0.0,Neutral
